HighwayClassDescription,HighwayClassCode,ControlSection,ControlSectionSeq,BeginLogMile,EndLogMile,SegmentLength,AADT,RouteNames,DOTDDistricts,Parishes,Fatal,Serious,Minor,Possible,PDO,TL_5y,FI_5y,FSM_5y,TLCpY,TLCpMpY,PredTL,PredTLpMpY,PSI_Limit_TL,Expected_TL,PSI_Limit_TL_Low,TLCr_Delta,TL_LOSS,TL_Rank,FICpY,FICpMpY,PredFI,PredFIpMpY,PSI_Limit_FI,Expected_FI,PSI_Limit_FI_Low,FICr_Delta,FI_LOSS,FI_Rank,HPSI_Rank
RURAL 2-LANE,19,052-04,052-04_010,0.301,6.703,6.40139546,2982,"[""LA 1""]","[""61""]","[""POINTE COUPEE""]",1,2,10,17,14,44,30,13,8.8,1.374700259,34.13573224,1.06650909,1.578883555,1.284722878,0.465580354,0.218213788,LOSS 3,604,6,0.937295631,14.4269398,0.450743588,0.65576038,0.679324212,0.21306911,0.228580624,LOSS 4,190,22
RURAL 2-LANE,19,260-05,260-05_010,0,6.035,6.03455899,2122,"[""LA 22""]","[""62""]","[""LIVINGSTON""]",4,1,8,14,36,63,27,13,12.6,2.087973623,24.75568357,0.820463719,1.214632567,1.645671081,0.358170214,0.825207361,LOSS 4,224,5.4,0.894845839,10.50931173,0.348304217,0.506727354,0.570430022,0.164645425,0.222125805,LOSS 4,198,23
RURAL 2-LANE,19,272-03,272-03_010,3.471,9.492,6.02108696,2835,"[""LA 63""]","[""62""]","[""LIVINGSTON""]",2,0,11,14,57,84,27,13,16.8,2.790193882,30.89007795,1.026063173,1.519006528,2.260938966,0.447923848,1.234875793,LOSS 4,140,5.4,0.896848034,13.06668071,0.434030626,0.631445673,0.647110506,0.205168796,0.213079881,LOSS 4,207,24
RURAL 2-LANE,19,824-06,824-06_010,3.062,10.241,7.17887525,433,"[""LA 405""]","[""61""]","[""IBERVILLE""]",1,2,10,7,19,39,20,13,7.8,1.086521179,8.290817593,0.230978177,0.341945182,0.525596509,0.100832616,0.294618332,LOSS 4,521,4,0.557190348,3.483705544,0.097054355,0.141198683,0.170777642,0.045878157,0.073723287,LOSS 4,456,25
RURAL 2-LANE,19,810-25,810-25_010,0,4.87,4.86981046,1811,"[""LA 3063""]","[""07""]","[""CALCASIEU""]",0,1,11,15,45,72,27,12,14.4,2.956993936,17.65373634,0.725027657,1.073346918,2.11432576,0.316507976,1.389298103,LOSS 4,127,5.4,1.108872726,7.501939537,0.308099857,0.448236392,0.610154277,0.145640591,0.302054419,LOSS 4,138,26
RURAL 2-LANE,19,219-01,219-01_010,2.13,7.368,5.23832301,1536,"[""LA 77""]","[""61""]","[""IBERVILLE""]",2,3,6,9,34,54,20,11,10.8,2.06172853,16.6853144,0.63704794,0.943099806,1.479900041,0.278100776,0.842852102,LOSS 4,218,4,0.763603159,7.093411786,0.270827583,0.394011148,0.442030271,0.12802177,0.171202689,LOSS 4,246,27
RURAL 2-LANE,19,069-03,069-03_010,0,7.386,7.38636187,1559,"[""LA 33""]","[""05""]","[""UNION""]",0,2,9,15,35,61,26,11,12.2,1.651692703,23.80439677,0.644549974,0.954205983,1.243229167,0.28137576,0.598679192,LOSS 4,304,5.2,0.704000168,10.11980033,0.27401312,0.3986456,0.424543487,0.129527593,0.150530366,LOSS 4,274,28
RURAL 2-LANE,19,197-02,197-02_010,0,2.013,2.01324985,4683,"[""LA 383""]","[""07""]","[""CALCASIEU""]",0,0,10,23,94,127,33,10,25.4,12.61641718,15.0747797,1.497556769,2.217016036,10.09249846,0.653752525,8.594941696,LOSS 4,13,6.6,3.27828163,6.297002758,0.625556014,0.910084714,2.088566518,0.295703959,1.463010504,LOSS 4,16,29
RURAL 2-LANE,19,279-01,279-01_010,1.723,6.964,5.27273141,4818,"[""LA 437""]","[""62""]","[""ST. TAMMANY""]",4,0,6,44,140,194,54,10,38.8,7.358614916,40.31832153,1.529314444,2.264030798,6.05673769,0.667616214,4.527423245,LOSS 4,27,10.8,2.048274255,16.82500912,0.6381895,0.928464431,1.422834651,0.301675881,0.784645151,LOSS 4,40,30
RURAL 2-LANE,19,187-01,187-01_010,0,4.653,4.65306215,2738,"[""LA 109""]","[""07""]","[""CALCASIEU""]",2,0,8,22,24,56,32,10,11.2,2.407017065,23.24293535,0.999038251,1.478998238,1.97667684,0.436126224,0.977638589,LOSS 4,183,6.4,1.375438323,9.837388691,0.422835044,0.615157878,0.855233215,0.19987658,0.432398171,LOSS 4,94,31
RURAL 2-LANE,19,817-04,817-04_010,0,8.545,8.54481655,1944,"[""LA 409""]","[""61""]","[""EAST BATON ROUGE""]",0,2,8,29,34,73,39,10,14.6,1.708638204,32.74075208,0.766330134,1.134492015,1.365057417,0.33453841,0.598727283,LOSS 4,303,7.8,0.912834109,13.9079509,0.325529537,0.47359381,0.554705054,0.153879702,0.229175517,LOSS 4,188,32
RURAL 2-LANE,19,003-03,003-03_010,0,8.929,8.92912313,2321,"[""US 90""]","[""07""]","[""CALCASIEU""]",1,0,9,28,37,75,38,10,15,1.679896198,39.26840601,0.879557946,1.302116963,1.413124454,0.383967567,0.533566508,LOSS 4,339,7.6,0.851147407,16.65602739,0.373071961,0.542760491,0.575342562,0.176353281,0.202270601,LOSS 4,213,33
RURAL 2-LANE,19,022-05,022-05_010,0,4.16,4.15999997,3343,"[""US 84""]","[""58""]","[""LASALLE""]",0,1,8,30,54,93,39,9,18.6,4.471153878,24.19869296,1.163398709,1.722321081,3.563808644,0.507877136,2.400409936,LOSS 4,65,7.8,1.875000014,10.20383749,0.490569114,0.713700199,1.170224904,0.231894867,0.679655791,LOSS 4,48,34
RURAL 2-LANE,19,034-05,034-05_010,5.887,9.219,3.33173833,8010,"[""LA 6""]","[""08""]","[""NATCHITOCHES""]",0,1,8,21,43,73,30,9,14.6,4.382096838,36.72428975,2.204512246,3.263608501,4.019950088,0.962371162,1.815437841,LOSS 4,91,6,1.800861714,14.96946471,0.898597863,1.307317267,1.474717808,0.424772425,0.576119946,LOSS 4,63,35
RURAL 2-LANE,19,270-01,270-01_010,0,4.96,4.95982503,3820,"[""LA 441""]","[""62""]","[""LIVINGSTON""]",0,1,8,23,57,89,32,9,17.8,3.588836278,31.90685535,1.286612135,1.904728952,3.002389087,0.561665474,1.715776952,LOSS 4,97,6.4,1.2903681,13.4107497,0.540775113,0.786741959,0.927026513,0.255627535,0.386251401,LOSS 4,109,36
RURAL 2-LANE,19,853-22,853-22_010,0,6.508,6.50846268,1004,"[""HWY 1054 ""]","[""62""]","[""TANGIPAHOA""]",3,0,6,14,30,53,23,9,10.6,1.62864881,14.79533657,0.454649194,0.673072685,1.051420765,0.19847532,0.59677157,LOSS 4,305,4.6,0.706772125,6.281175873,0.193015653,0.28080714,0.334330786,0.09123962,0.141315133,LOSS 4,280,37
RURAL 2-LANE,19,063-08,063-08_010,3.142,10.322,7.17996255,624,"[""LA 18""]","[""61""]","[""ST. JAMES""]",0,1,8,14,26,49,23,9,9.8,1.364909626,11.14305398,0.310393095,0.459512776,0.746723561,0.135500886,0.436330466,LOSS 4,406,4.6,0.640671865,4.707732674,0.131135299,0.190781046,0.235565658,0.061988417,0.104430359,LOSS 4,361,38
RURAL 2-LANE,19,030-01,030-01_010,2.209,5.13,2.92125445,5589,"[""LA 21""]","[""62""]","[""ST. TAMMANY""]",2,1,5,23,64,95,31,8,19,6.504055133,24.90371918,1.705001711,2.524122099,5.520061563,0.7443118,3.815059852,LOSS 4,37,6.2,2.122375885,10.33330548,0.707456722,1.029237245,1.530536556,0.334418899,0.823079834,LOSS 4,36,39
RURAL 2-LANE,19,003-02,003-02_010,0.112,4.677,4.56514569,2321,"[""US 90""]","[""07""]","[""CALCASIEU""]",2,1,5,20,25,53,28,8,10.6,2.32194123,20.07655083,0.879557946,1.302116963,1.841160631,0.383967567,0.961602685,LOSS 4,188,5.6,1.226685933,8.515639278,0.373071961,0.542760491,0.734230461,0.176353281,0.3611585,LOSS 4,112,40
RURAL 2-LANE,19,274-01,274-01_010,4.294,10.069,5.77432469,1096,"[""LA 436""]","[""62""]","[""WASHINGTON""]",1,0,7,20,23,51,28,8,10.2,1.766440328,14.0768689,0.487567626,0.721805856,1.159969601,0.212845732,0.672401975,LOSS 4,284,5.6,0.969810376,5.979429759,0.207104037,0.301303502,0.427778346,0.09789928,0.22067431,LOSS 4,199,41
RURAL 2-LANE,19,850-02,850-02_010,0,6.574,6.57408517,3032,"[""LA 686""]","[""03""]","[""ST. MARTIN""]",0,1,7,22,39,69,30,8,13.8,2.099151387,35.50436345,1.080130924,1.599049619,1.804311519,0.471526912,0.724180595,LOSS 4,256,6,0.912674516,15.00077347,0.456360789,0.663932516,0.672143768,0.215724394,0.21578298,LOSS 4,204,42
RURAL 2-LANE,19,217-02,217-02_010,3.901,8.131,4.23039672,3002,"[""LA 93""]","[""03""]","[""ST. LANDRY""]",0,1,7,11,24,43,19,8,8.6,2.032906266,22.67420539,1.071965912,1.586961955,1.753369396,0.467962508,0.681403484,LOSS 4,281,3.8,0.898260908,9.581732401,0.452994508,0.659035111,0.662731833,0.214133133,0.209737325,LOSS 4,209,43
RURAL 2-LANE,19,195-01,195-01_010,2.406,8.156,5.74964842,1481,"[""LA 384""]","[""07""]","[""CAMERON""]",0,1,7,11,48,67,19,8,13.4,2.330577284,17.79499659,0.618994251,0.916372728,1.61966089,0.270219509,1.000666639,LOSS 4,178,3.8,0.660909976,7.565279075,0.263156232,0.382850551,0.398766171,0.124395478,0.135609939,LOSS 4,289,44
RURAL 2-LANE,19,368-02,368-02_010,3.454,9.253,5.79836934,1416,"[""TWIN BRIDGES RD""]","[""08""]","[""RAPIDES""]",3,0,5,11,19,38,19,8,7.6,1.310713332,17.32100084,0.597443862,0.884469056,1.008297005,0.260811771,0.410853144,LOSS 4,417,3.8,0.655356666,7.363622934,0.253989441,0.369514324,0.387652019,0.120062283,0.133662578,LOSS 4,294,45
RURAL 2-LANE,19,837-14,837-14_010,0,5.803,5.80321582,440,"[""NEW NATCHITOCHES RD""]","[""05""]","[""OUACHITA""]",0,0,8,7,44,59,15,8,11.8,2.033355361,6.789792647,0.234001039,0.346420293,0.858927023,0.102152234,0.624925984,LOSS 4,296,3,0.516954753,2.853744853,0.098350464,0.143084316,0.166170075,0.046490835,0.067819611,LOSS 4,484,46
RURAL 2-LANE,19,047-02,047-02_010,7.732,9.66,1.92782572,7873,"[""LA 16"",""LA 10""]","[""62""]","[""WASHINGTON""]",1,1,5,12,32,51,19,7,10.2,5.290934701,20.99448553,2.178048079,3.224430365,4.768007512,0.950818334,2.589959433,LOSS 4,60,3.8,1.971132536,8.566161316,0.888686278,1.292897485,1.577082286,0.420087162,0.688396008,LOSS 4,46,47
RURAL 2-LANE,19,034-02,034-02_010,13.827,15.952,2.12541532,6173,"[""LA 6""]","[""08""]","[""SABINE""]",0,0,7,12,32,51,19,7,10.2,4.799062049,19.47096639,1.832203449,2.712434354,4.224798524,0.799841219,2.392595075,LOSS 4,66,3.8,1.787885861,8.04412673,0.756946339,1.101236784,1.373521344,0.357812928,0.616575004,LOSS 4,56,48
RURAL 2-LANE,19,213-08,213-08_010,0,4.2,4.19999995,3765,"[""LA 92-1""]","[""03""]","[""ST. MARTIN""]",1,2,4,25,46,78,32,7,15.6,3.714285759,26.72594997,1.272664299,1.884080269,3.087263908,0.555576601,1.814599609,LOSS 4,92,6.4,1.523809542,11.23745338,0.535116834,0.778510061,1.041974066,0.252952833,0.506857232,LOSS 4,74,49
RURAL 2-LANE,19,266-02,266-02_010,5.44,7.696,2.25505797,8510,"[""LA 22""]","[""62"",""61""]","[""LIVINGSTON"",""ASCENSION""]",0,0,7,12,34,53,19,7,10.6,4.70054435,25.92745723,2.299493634,3.40422104,4.315079474,1.003834914,2.01558584,LOSS 4,81,3.8,1.685100805,10.5308267,0.933973924,1.358783821,1.420246607,0.441494895,0.486272684,LOSS 4,80,50
RURAL 2-LANE,19,005-05,005-05_010,0,2.247,2.2472485,3343,"[""LA 182""]","[""02""]","[""TERREBONNE""]",2,0,5,9,22,38,16,7,7.6,3.381913482,13.07223001,1.163398709,1.722321081,2.773356106,0.507877136,1.609957398,LOSS 4,110,3.2,1.423963571,5.512153524,0.490569114,0.713700199,0.948798519,0.231894867,0.458229405,LOSS 4,87,51
RURAL 2-LANE,19,269-06,269-06_010,0,3.936,3.93617299,2942,"[""LA 40""]","[""62""]","[""TANGIPAHOA""]",1,0,6,14,30,51,21,7,10.2,2.591349523,20.77438834,1.055562771,1.562678383,2.139689457,0.460801781,1.084126686,LOSS 4,165,4.2,1.067026274,8.782102643,0.446225441,0.649187193,0.736318378,0.210933356,0.290092937,LOSS 4,143,52
RURAL 2-LANE,19,847-04,847-04_010,0,2.854,2.85363183,3208,"[""LA 643""]","[""61""]","[""ST. JAMES""]",0,0,7,8,26,41,15,7,8.2,2.873531166,16.08813794,1.127555263,1.669257655,2.383642258,0.492229821,1.256086995,LOSS 4,135,3,1.05129189,6.789803834,0.475871047,0.692316845,0.753988223,0.224947006,0.278117176,LOSS 4,149,53
RURAL 2-LANE,19,254-03,254-03_010,4.521,10.024,5.50340632,2249,"[""LA 37""]","[""61""]","[""EAST BATON ROUGE""]",0,1,6,21,37,65,28,7,13,2.362173397,23.61904688,0.858342834,1.270709643,1.852718744,0.374706192,0.99437591,LOSS 4,180,5.6,1.017551617,10.02147557,0.364191738,0.529841176,0.636789426,0.172155549,0.272597688,LOSS 4,153,54
RURAL 2-LANE,19,257-02,257-02_010,0,3.873,3.87308368,2114,"[""LA 75""]","[""61""]","[""IBERVILLE""]",0,2,5,11,13,31,18,7,6.2,1.600791646,15.8420246,0.81805744,1.211070258,1.327130951,0.357119762,0.509073511,LOSS 4,358,3.6,0.929491924,6.725485633,0.347293588,0.505257049,0.583503008,0.164167695,0.23620942,LOSS 4,181,55
RURAL 2-LANE,19,221-01,221-01_010,1.813,3.42,1.60700166,314,"[""LA 93""]","[""03""]","[""ST. LANDRY""]",0,0,7,6,10,23,13,7,4.6,2.862473708,1.429477912,0.177906215,0.26337628,0.951141385,0.077664259,0.773235171,LOSS 4,240,2.6,1.617919922,0.597244832,0.074330332,0.108138835,0.271122025,0.035136379,0.196791693,LOSS 4,218,56
RURAL 2-LANE,19,853-03,853-03_010,0,4.525,4.52488708,1730,"[""LA 1051"",""LA 1050"",""LA 1049""]","[""62""]","[""TANGIPAHOA""]",1,0,6,11,30,48,18,7,9.6,2.121599905,15.82556411,0.699489903,1.035540264,1.572653539,0.305359569,0.873163636,LOSS 4,208,3.6,0.795599964,6.726260196,0.297300687,0.432525314,0.48110291,0.140535761,0.183802222,LOSS 4,231,57
RURAL 2-LANE,19,208-02,208-02_010,1.011,8.844,7.83292801,938,"[""LA 357""]","[""03""]","[""ST. LANDRY""]",0,2,5,20,49,76,27,7,15.2,1.940525941,16.86469064,0.430610127,0.63748472,1.177631447,0.18798116,0.747021319,LOSS 4,253,5.4,0.689397374,7.156068076,0.182717576,0.265825072,0.316615393,0.086371659,0.133897817,LOSS 4,293,58
RURAL 2-LANE,19,272-04,272-04_010,1.026,6.681,5.65463168,500,"[""LA 63""]","[""62""]","[""LIVINGSTON""]",1,1,5,12,25,44,19,7,8.8,1.556246365,7.337697074,0.259528736,0.38421206,0.740782717,0.11329625,0.48125398,LOSS 4,376,3.8,0.672015476,3.090281897,0.109300908,0.159015474,0.208823761,0.051667174,0.099522853,LOSS 4,375,59
RURAL 2-LANE,19,162-01,162-01_010,5.526,10.433,4.90660976,304,"[""LA 593""]","[""05""]","[""MOREHOUSE""]",1,0,6,6,10,23,13,7,4.6,0.937510873,4.251098808,0.173280494,0.256528261,0.389295943,0.075644919,0.216015449,LOSS 4,605,2.6,0.52989745,1.775051179,0.072353469,0.105262813,0.129327389,0.034201905,0.056973921,LOSS 4,532,60
RURAL 2-LANE,19,405-01,405-01_010,8.171,10.825,2.65369961,6343,"[""LA 69""]","[""61""]","[""IBERVILLE""]",0,1,5,14,29,49,20,6,9.8,3.692957546,24.79034157,1.868360796,2.765962487,3.345322072,0.815625566,1.476961277,LOSS 4,116,4,1.507329611,10.22884671,0.770912176,1.12155486,1.214572511,0.36441466,0.443660335,LOSS 4,89,61
RURAL 2-LANE,19,820-29,820-29_010,2.822,5.847,3.02474942,2663,"[""LA 1161""]","[""03""]","[""EVANGELINE""]",0,1,5,11,21,38,17,6,7.6,2.512604829,14.79030643,0.97795251,1.447782442,2.03657129,0.426921327,1.05861878,LOSS 4,168,3.4,1.124060055,6.262505362,0.414084243,0.602426851,0.732674204,0.195740025,0.318589962,LOSS 4,133,62
RURAL 2-LANE,19,261-04,261-04_010,5.702,10.525,4.82294078,1839,"[""LA 22""]","[""62""]","[""TANGIPAHOA""]",0,0,6,21,75,102,27,6,20.4,4.229784468,17.69504848,0.733786679,1.086313967,2.919738591,0.320331692,2.185951912,LOSS 4,69,5.4,1.11964883,7.518962828,0.311799923,0.453619401,0.618792307,0.147389634,0.306992383,LOSS 4,134,63
RURAL 2-LANE,19,096-01,096-01_010,4.581,7.283,2.70189745,1473,"[""LA 170""]","[""04""]","[""CADDO""]",0,2,4,4,9,19,10,6,3.8,1.406419033,8.326634624,0.616354601,0.912464931,1.077440782,0.26906718,0.461086181,LOSS 4,389,2,0.740220544,3.539944616,0.262033973,0.381217841,0.424607742,0.12386498,0.162573769,LOSS 4,257,64
RURAL 2-LANE,19,268-03,268-03_010,0,3.751,3.75112873,1222,"[""LA 447""]","[""62""]","[""LIVINGSTON""]",1,1,4,8,21,35,14,6,7,1.866104979,9.971143574,0.531634305,0.787043138,1.261976644,0.232082868,0.73034234,LOSS 4,255,2.8,0.746441992,4.237566189,0.225935525,0.328700329,0.386016133,0.106801034,0.160080608,LOSS 4,259,65
RURAL 2-LANE,19,839-18,839-18_010,0,4.295,4.29486952,1069,"[""LA 977""]","[""61""]","[""POINTE COUPEE""]",0,1,5,9,9,24,15,6,4.8,1.117612532,10.26420033,0.477974955,0.707604654,0.811111162,0.208658089,0.333136207,LOSS 4,478,3,0.698507833,4.35929925,0.203000311,0.295333234,0.344335336,0.095959425,0.141335025,LOSS 4,279,66
RURAL 2-LANE,19,858-01,858-01_010,0,5.79,5.78967497,877,"[""LA 1146""]","[""07"",""08""]","[""VERNON"",""BEAUREGARD""]",1,1,4,15,12,33,21,6,6.6,1.139960366,11.81243795,0.408051851,0.604088951,0.760319426,0.178133433,0.352267575,LOSS 4,457,4.2,0.725429324,5.009437875,0.173047292,0.251756344,0.313257918,0.081800459,0.140210626,LOSS 4,284,67
RURAL 2-LANE,19,221-01,221-01_010,3.42,4.508,1.08777933,2838,"[""LA 93""]","[""03""]","[""ST. LANDRY""]",0,0,5,7,18,30,12,5,6,5.515824611,5.585173946,1.026894664,1.520237486,4.169869164,0.448286832,3.1429745,LOSS 4,48,2.4,2.206329844,2.362519249,0.434374727,0.631946286,1.250526935,0.205331455,0.816152208,LOSS 4,37,68
RURAL 2-LANE,19,801-41,801-41_010,0,0.876,0.87562658,5493,"[""LA 95""]","[""03""]","[""ACADIA""]",3,1,1,4,12,21,9,5,4.2,4.796565221,7.371142125,1.683626855,2.492478291,4.151866035,0.73498069,2.46823918,LOSS 4,64,1.8,2.055670809,3.060691055,0.699085917,1.017059053,1.484299075,0.330461971,0.785213157,LOSS 4,39,69
RURAL 2-LANE,19,056-02,056-02_010,4.1,6.183,2.08299986,6267,"[""LA 31""]","[""03""]","[""ST. MARTIN""]",0,1,4,14,51,70,19,5,14,6.721075824,19.29111041,1.852243083,2.74210147,5.786906973,0.808589442,3.93466389,LOSS 4,34,3.8,1.824292009,7.964269199,0.764692245,1.112505847,1.400998714,0.361474463,0.636306469,LOSS 4,53,70
RURAL 2-LANE,19,227-02,227-02_010,0,0.988,0.98816705,1495,"[""LA 413""]","[""61""]","[""WEST BATON ROUGE""]",0,1,4,5,20,30,10,5,6,6.071847872,3.081130624,0.623605214,0.923198899,3.818699885,0.272232407,3.195094671,LOSS 4,46,2,2.023949291,1.309895594,0.265116226,0.38570203,0.86770786,0.125321979,0.602591634,LOSS 4,58,71
RURAL 2-LANE,19,829-32,829-32_010,5.541,8.26,2.71926839,3583,"[""LA 1""]","[""02""]","[""LAFOURCHE""]",1,0,4,18,56,79,23,5,15.8,5.810386374,16.66963857,1.226038491,1.815054395,4.600148259,0.535222287,3.374109768,LOSS 4,44,4.6,1.691631476,7.017823909,0.516155296,0.750924034,1.108168879,0.243989605,0.592013583,LOSS 4,59,72
RURAL 2-LANE,19,367-01,367-01_010,0,4.652,4.65158558,5082,"[""LA HWY 1207 ""]","[""08""]","[""RAPIDES""]",1,0,4,33,59,97,38,5,19.4,4.170620892,36.9924996,1.590532904,2.354659955,3.611775667,0.694340892,2.021242764,LOSS 4,80,7.6,1.633851483,15.40711442,0.662445704,0.963753358,1.211910714,0.313141929,0.54946501,LOSS 4,66,73
RURAL 2-LANE,19,052-05,052-05_010,12.146,13.132,0.98681207,5676,"[""LA 1""]","[""08""]","[""AVOYELLES""]",0,0,5,3,6,14,8,5,2.8,2.837419692,8.507583236,1.724256015,2.552626595,2.6112084,0.75271719,0.886952385,LOSS 4,204,1.6,1.621382681,3.527772403,0.714983635,1.040187709,1.244581699,0.337976914,0.529598065,LOSS 4,70,74
RURAL 2-LANE,19,195-30,195-30_010,0,1.989,1.98915623,1481,"[""LA 384""]","[""07""]","[""CAMERON""]",0,1,4,9,25,39,14,5,7.8,3.921260624,6.156381356,0.618994251,0.916372728,2.549644257,0.270219509,1.930650005,LOSS 4,86,2.8,1.407632019,2.617294294,0.263156232,0.382850551,0.653353167,0.124395478,0.390196935,LOSS 4,107,75
RURAL 2-LANE,19,048-02,048-02_010,0.354,1.969,1.61505987,1914,"[""LA 169""]","[""04""]","[""CADDO""]",1,1,3,5,11,21,10,5,4.2,2.600522791,6.113646898,0.757079909,1.120797778,1.923178699,0.330500261,1.166098789,LOSS 4,150,2,1.238344186,2.59725744,0.321629865,0.467920406,0.676720915,0.152036304,0.35509105,LOSS 4,117,76
RURAL 2-LANE,19,208-30,208-30_010,2.104,4.141,2.0375346,3266,"[""LA 178""]","[""03""]","[""ST. LANDRY""]",0,0,5,7,8,20,12,5,4,1.963156847,11.64461248,1.143010035,1.69213724,1.735285612,0.498976541,0.592275577,LOSS 4,307,2.4,1.177894108,4.912634003,0.482213554,0.701544186,0.820756297,0.227945146,0.338542743,LOSS 4,125,77
RURAL 2-LANE,19,019-31,019-31_010,0,2.319,2.31909924,1772,"[""LA 964""]","[""61""]","[""EAST FELICIANA""]",2,0,3,9,18,32,14,5,6.4,2.759692164,8.264911592,0.712769117,1.055199106,1.978666448,0.311156558,1.265897331,LOSS 4,134,2.8,1.207365322,3.512486372,0.30291816,0.440697845,0.64048265,0.143191172,0.33756449,LOSS 4,126,78
RURAL 2-LANE,19,804-10,804-10_010,2.63,5.418,2.78737987,1045,"[""LA 403""]","[""61""]","[""ASSUMPTION""]",1,1,3,8,14,27,13,5,5.4,1.937303221,6.541997781,0.469401236,0.694911932,1.227281113,0.204915266,0.757879877,LOSS 4,247,2.6,0.932775625,2.778059723,0.199331261,0.289995348,0.405817045,0.094225044,0.206485784,LOSS 4,212,79
RURAL 2-LANE,19,162-01,162-01_010,0,2.418,2.41752221,1078,"[""LA 138""]","[""05""]","[""MOREHOUSE""]",0,1,4,3,2,10,8,5,2,0.82729333,5.816300403,0.481178653,0.71234748,0.66201914,0.210056651,0.180840487,LOSS 3,683,1.6,0.661834664,2.470357293,0.204371011,0.297327384,0.335483212,0.096607363,0.1311122,LOSS 4,298,80
RURAL 2-LANE,19,850-07,850-07_010,0,3.436,3.43629629,1336,"[""NINA HWY""]","[""03""]","[""ST. MARTIN""]",1,2,2,6,25,36,11,5,7.2,2.095279159,9.803517253,0.570586261,0.844708472,1.431646328,0.249087191,0.861060068,LOSS 4,213,2.2,0.640224187,4.167386132,0.242551036,0.352873261,0.370944916,0.114655283,0.128393879,LOSS 4,309,81
RURAL 2-LANE,19,227-03,227-03_010,0,2.206,2.20588612,1250,"[""LA 413""]","[""61""]","[""WEST BATON ROUGE"",""POINTE COUPEE""]",0,0,5,2,3,10,7,5,2,0.906665118,5.969996501,0.541278758,0.801321,0.74287719,0.236293116,0.201598432,LOSS 3,641,1.4,0.634665583,2.537345609,0.230052276,0.334689548,0.356051498,0.108747046,0.125999222,LOSS 4,317,82
RURAL 2-LANE,19,832-08,832-08_010,0,4.457,4.45699639,875,"[""LA 1036""]","[""62""]","[""LIVINGSTON""]",2,1,2,8,19,32,13,5,6.4,1.435944623,9.076816295,0.407306423,0.602985403,0.901920464,0.177808019,0.49461404,LOSS 4,365,2.6,0.583352503,3.849232439,0.172727644,0.251291308,0.276812451,0.08164936,0.104084807,LOSS 4,362,83
RURAL 2-LANE,19,804-05,804-05_010,0,2.884,2.88426941,580,"[""SHELL BEACH RD""]","[""61""]","[""ASSUMPTION""]",0,1,4,1,6,12,6,5,2.4,0.8320998,4.21982361,0.292609532,0.433185598,0.508156449,0.127737542,0.215546917,LOSS 4,606,1.2,0.4160499,1.781038657,0.123500159,0.17967313,0.180649685,0.058379242,0.057149526,LOSS 4,529,84
RURAL 2-LANE,19,317-03,317-03_010,0.066,3.457,3.3905062,285,"[""LA 151""]","[""05""]","[""UNION""]",0,0,5,3,10,18,8,5,3.6,1.061788355,2.78713813,0.164408378,0.243393786,0.408606506,0.071771832,0.244198127,LOSS 4,571,1.6,0.471905935,1.162334555,0.068564072,0.099749842,0.116470675,0.032410635,0.047906603,LOSS 4,587,85
RURAL 2-LANE,19,819-04,819-04_010,0,2.519,2.51923186,192,"[""HWY 961 ""]","[""61""]","[""EAST FELICIANA""]",1,0,4,1,3,9,6,5,1.8,0.714503507,1.500335339,0.11911054,0.176333868,0.246005005,0.051997238,0.126894465,LOSS 4,786,1.2,0.476335672,0.620682868,0.049275565,0.071688126,0.086989812,0.023292846,0.037714247,LOSS 4,661,86
URBAN 2-LANE,20,262-01,262-01_010,1.873,11.22,9.34665268,6241,"[""LA 16""]","[""62""]","[""LIVINGSTON""]",5,15,41,114,305,480,175,61,96,10.27105674,251.7852313,5.387709161,8.585011019,10.07576076,1.372569763,4.688051599,LOSS 4,305,35,3.744656103,84.4014411,1.80602498,2.842937795,3.505057462,0.523376142,1.699032481,LOSS 4,190,1
URBAN 2-LANE,20,414-01,414-01_011,0.108,7.316,7.20812782,15493,"[""LA 30""]","[""61""]","[""EAST BATON ROUGE"",""IBERVILLE""]",7,5,39,172,597,820,223,51,164,22.75209376,397.0943843,11.01796179,17.55650138,22.51783446,2.806929762,11.49987268,LOSS 4,158,44.6,6.187459645,128.5451964,3.566673612,5.614446823,6.012788974,1.033602468,2.446115362,LOSS 4,146,2
URBAN 2-LANE,20,046-31,046-31_010,0,2.169,2.16860115,44080,"[""LA 39""]","[""02""]","[""ORLEANS""]",3,5,28,179,259,474,215,36,94.8,43.71481588,271.968493,25.08238945,39.96737451,43.5495677,6.389975462,18.46717825,LOSS 4,94,43,19.82845024,84.50481142,7.793485807,12.26804479,19.44760025,2.25850948,11.65411444,LOSS 4,20,3
URBAN 2-LANE,20,003-11,003-11_010,4.801,10.69,5.88943426,10065,"[""US 90""]","[""03""]","[""LAFAYETTE""]",1,3,29,99,294,426,132,33,85.2,14.46658478,231.0786528,7.847227513,12.50411495,14.28252559,1.999155278,6.43529808,LOSS 4,238,26.4,4.482603733,76.05664284,2.582816599,4.065717256,4.31208387,0.748486097,1.729267271,LOSS 4,189,4
